,weather,temperature,pressure,humidity,wind_speed,wind_direction,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration,PM25_Concentration
2014/5/1 0:00,0,0.568627451,0.475409836,0.56,0.133333333,23,0.164141414,0.123931624,0.08822232,0.277929155,0.114228457,81
2014/5/1 1:00,0,0.549019608,0.475409836,0.59,0.116666667,23,0.194444444,0.136752137,0.116894574,0.245231608,0.114228457,88
2014/5/1 2:00,0,0.549019608,0.475409836,0.61,0.2,3,0.190656566,0.183760684,0.149977944,0.231607629,0.148296593,98
2014/5/1 3:00,0,0.509803922,0.459016393,0.66,0.058333333,23,0.190656566,0.162393162,0.107442183,0.258855586,0.156312625,117
2014/5/1 4:00,0,0.529411765,0.459016393,0.63,0.083333333,23,0.175505051,0.200854701,0.112987586,0.217983651,0.198396794,109
2014/5/1 5:00,0,0.490196078,0.475409836,0.68,0.091666667,23,0.213383838,0.188034188,0.111601235,0.204359673,0.190380762,109
2014/5/1 6:00,0,0.509803922,0.475409836,0.62,0.083333333,3,0.237373737,0.264957265,0.229630096,0.133514986,0.22244489,137
2014/5/1 7:00,0,0.529411765,0.475409836,0.6,0.15,23,0.281565657,0.217948718,0.205116895,0.188010899,0.248496994,137
2014/5/1 8:00,3,0.607843137,0.491803279,0.59,0.3,23,0.289141414,0.175213675,0.146070956,0.215258856,0.208416834,137
2014/5/1 9:00,3,0.647058824,0.475409836,0.54,0.291666667,23,0.324494949,0.145299145,0.119037116,0.253405995,0.210420842,157
2014/5/1 10:00,3,0.705882353,0.459016393,0.45,0.291666667,23,0.29040404,0.115384615,0.105551705,0.335149864,0.22244489,124
2014/5/1 11:00,3,0.725490196,0.459016393,0.34,0.408333333,23,0.200757576,0.08974359,0.080471359,0.400544959,0.208416834,108
2014/5/1 12:00,3,0.745098039,0.459016393,0.34,0.25,23,0.16540404,0.076923077,0.074547861,0.444141689,0.142284569,86
2014/5/1 13:00,3,0.764705882,0.426229508,0.33,0.391666667,23,0.122474747,0.076923077,0.070451824,0.482288828,0.088176353,70
2014/5/1 14:00,3,0.764705882,0.409836066,0.32,0.291666667,3,0.128787879,0.076923077,0.067931187,0.490463215,0.094188377,62
2014/5/1 15:00,3,0.764705882,0.409836066,0.33,0.233333333,23,0.132575758,0.076923077,0.066355788,0.490463215,0.086172345,65
2014/5/1 16:00,3,0.764705882,0.409836066,0.34,0.425,23,0.123737374,0.072649573,0.065662613,0.479564033,0.068136273,64
2014/5/1 17:00,3,0.745098039,0.409836066,0.38,0.216666667,23,0.15530303,0.076923077,0.073035478,0.46866485,0.110220441,53
2014/5/1 18:00,0,0.745098039,0.409836066,0.36,0.391666667,23,0.171717172,0.081196581,0.074484845,0.441416894,0.098196393,61
2014/5/1 19:00,0,0.705882353,0.409836066,0.39,0.141666667,23,0.167929293,0.085470085,0.087214065,0.392370572,0.090180361,62
2014/5/1 20:00,0,0.68627451,0.426229508,0.41,0.1,23,0.151515152,0.08974359,0.086898985,0.354223433,0.086172345,79
2014/5/1 21:00,8,0.568627451,0.475409836,0.4,0.35,24,0.169191919,0.11965812,0.112861554,0.250681199,0.092184369,76
2014/5/1 22:00,8,0.490196078,0.491803279,0.77,0.333333333,24,0.508838384,0.076923077,0.065347533,0.179836512,0.04008016,94
2014/5/1 23:00,5,0.509803922,0.491803279,0.62,0.283333333,24,0.332070707,0.068376068,0.062196736,0.174386921,0.036072144,79
2014/5/2 0:00,0,0.490196078,0.491803279,0.56,0.291666667,24,0.092171717,0.08974359,0.059045939,0.155313351,0.04008016,50
2014/5/2 1:00,0,0.490196078,0.491803279,0.49,0.475,24,0.074494949,0.068376068,0.05778562,0.179836512,0.04008016,52
2014/5/2 2:00,0,0.470588235,0.508196721,0.48,0.45,24,0.074494949,0.072649573,0.056588317,0.174386921,0.038076152,56
2014/5/2 3:00,0,0.470588235,0.508196721,0.46,0.358333333,24,0.059343434,0.068376068,0.054697839,0.177111717,0.036072144,32
2014/5/2 4:00,0,0.450980392,0.524590164,0.46,0.416666667,24,0.064393939,0.05982906,0.054382759,0.185286104,0.034068136,28
2014/5/2 5:00,0,0.450980392,0.540983607,0.46,0.483333333,24,0.051767677,0.055555556,0.055643078,0.188010899,0.038076152,29
2014/5/2 6:00,0,0.450980392,0.540983607,0.46,0.383333333,24,0.046717172,0.064102564,0.091121054,0.179836512,0.036072144,28
2014/5/2 7:00,0,0.470588235,0.557377049,0.45,0.541666667,24,0.051767677,0.055555556,0.056210221,0.198910082,0.0501002,35
2014/5/2 8:00,1,0.490196078,0.573770492,0.36,0.791666667,24,0.044191919,0.051282051,0.053059424,0.220708447,0.038076152,25
2014/5/2 9:00,1,0.509803922,0.590163934,0.32,0.366666667,24,0.036616162,0.047008547,0.046694814,0.253405995,0.03006012,17
2014/5/2 10:00,1,0.509803922,0.590163934,0.32,0.366666667,24,0.075757576,0.047008547,0.046883862,0.269754768,0.028056112,15
2014/5/2 11:00,1,0.549019608,0.62295082,0.16,0.5,24,0.083333333,0.047008547,0.047955133,0.272479564,0.028056112,18
2014/5/2 12:00,0,0.568627451,0.62295082,0.15,0.708333333,24,0.080808081,0.047008547,0.050412754,0.277929155,0.028056112,18
2014/5/2 13:00,0,0.588235294,0.62295082,0.14,0.316666667,24,0.059343434,0.047008547,0.050412754,0.286103542,0.028056112,22
2014/5/2 14:00,0,0.607843137,0.606557377,0.12,0.441666667,4,0.053030303,0.051282051,0.048333228,0.277929155,0.028056112,22
2014/5/2 15:00,0,0.62745098,0.606557377,0.12,0.191666667,24,0.059343434,0.047008547,0.050412754,0.286103542,0.028056112,22
2014/5/2 16:00,0,0.647058824,0.590163934,0.12,0.458333333,2,0.059343434,0.047008547,0.050412754,0.286103542,0.028056112,22
2014/5/2 17:00,0,0.647058824,0.590163934,0.12,0.208333333,23,0.066919192,0.064102564,0.048648308,0.313351499,0.028056112,19
2014/5/2 18:00,0,0.62745098,0.590163934,0.14,0.275,2,0.047979798,0.064102564,0.045497511,0.310626703,0.028056112,14
2014/5/2 19:00,0,0.607843137,0.606557377,0.18,0.45,24,0.054292929,0.055555556,0.047387989,0.272479564,0.028056112,20
2014/5/2 20:00,0,0.568627451,0.62295082,0.25,0.316666667,24,0.074494949,0.05982906,0.054130695,0.247956403,0.032064128,15
2014/5/2 21:00,0,0.549019608,0.639344262,0.33,0.108333333,24,0.113636364,0.08974359,0.053941647,0.188010899,0.036072144,20
2014/5/2 22:00,0,0.509803922,0.639344262,0.4,0.1,2,0.154040404,0.081196581,0.054760854,0.177111717,0.034068136,16
2014/5/2 23:00,0,0.490196078,0.639344262,0.5,0.058333333,23,0.122474747,0.068376068,0.056903397,0.188010899,0.034068136,21
2014/5/3 0:00,0,0.490196078,0.639344262,0.43,0.108333333,23,0.103535354,0.111111111,0.087403113,0.155313351,0.042084168,33
2014/5/3 1:00,0,0.450980392,0.62295082,0.44,0.083333333,23,0.083333333,0.217948718,0.149473817,0.081743869,0.090180361,30
2014/5/3 2:00,0,0.431372549,0.606557377,0.46,0.066666667,23,0.109848485,0.132478632,0.065158485,0.16893733,0.058116232,74
2014/5/3 3:00,0,0.431372549,0.606557377,0.46,0.1,23,0.098484848,0.111111111,0.062196736,0.190735695,0.046092184,44
2014/5/3 4:00,0,0.470588235,0.590163934,0.37,0.225,23,0.083333333,0.094017094,0.057218476,0.215258856,0.056112224,46
2014/5/3 5:00,0,0.450980392,0.573770492,0.4,0.15,23,0.070707071,0.115384615,0.061692608,0.188010899,0.052104208,40
2014/5/3 6:00,0,0.470588235,0.590163934,0.39,0.183333333,23,0.075757576,0.136752137,0.157539858,0.171662125,0.086172345,36
2014/5/3 7:00,0,0.509803922,0.573770492,0.35,0.341666667,23,0.103535354,0.115384615,0.06912849,0.198910082,0.064128257,46
2014/5/3 8:00,1,0.549019608,0.573770492,0.33,0.4,23,0.106060606,0.128205128,0.065347533,0.19346049,0.070140281,40
2014/5/3 9:00,1,0.588235294,0.557377049,0.3,0.341666667,23,0.143939394,0.102564103,0.070955952,0.226158038,0.080160321,45
2014/5/3 10:00,1,0.62745098,0.540983607,0.27,0.458333333,23,0.263888889,0.102564103,0.080030248,0.237057221,0.092184369,44
2014/5/3 11:00,1,0.647058824,0.524590164,0.23,0.5,23,0.276515152,0.085470085,0.081164535,0.264305177,0.090180361,51
2014/5/3 12:00,2,0.666666667,0.491803279,0.2,0.575,23,0.263888889,0.081196581,0.07719453,0.288828338,0.088176353,58
2014/5/3 13:00,2,0.705882353,0.459016393,0.19,0.641666667,23,0.258838384,0.076923077,0.081920726,0.302452316,0.084168337,57
2014/5/3 14:00,2,0.705882353,0.442622951,0.21,0.683333333,23,0.238636364,0.05982906,0.063015943,0.346049046,0.064128257,49
2014/5/3 15:00,2,0.705882353,0.442622951,0.21,0.683333333,23,0.285353535,0.05982906,0.06181864,0.359673025,0.0501002,44
2014/5/3 16:00,2,0.68627451,0.442622951,0.19,0.525,2,0.29040404,0.055555556,0.063015943,0.36239782,0.048096192,44
2014/5/3 17:00,2,0.666666667,0.442622951,0.24,0.175,24,0.296717172,0.064102564,0.072468334,0.329700272,0.046092184,39
2014/5/3 18:00,8,0.647058824,0.442622951,0.26,0.116666667,24,0.406565657,0.08974359,0.093641691,0.261580381,0.058116232,37
2014/5/3 19:00,0,0.62745098,0.475409836,0.26,0.416666667,24,0.154040404,0.094017094,0.07782469,0.247956403,0.052104208,22
2014/5/3 20:00,0,0.588235294,0.524590164,0.13,0.241666667,24,0.117424242,0.068376068,0.060306257,0.217983651,0.032064128,37
2014/5/3 21:00,0,0.549019608,0.557377049,0.15,0.658333333,24,0.29040404,0.055555556,0.054130695,0.204359673,0.026052104,33
2014/5/3 22:00,0,0.529411765,0.573770492,0.19,0.275,24,0.457070707,0.055555556,0.054445775,0.21253406,0.028056112,39
2014/5/3 23:00,0,0.529411765,0.573770492,0.19,0.275,24,0.356060606,0.047008547,0.052996408,0.226158038,0.026052104,39
2014/5/4 0:00,0,0.470588235,0.590163934,0.18,0.741666667,24,0.295454545,0.042735043,0.054445775,0.237057221,0.028056112,27
2014/5/4 1:00,0,0.470588235,0.606557377,0.21,0.433333333,24,0.363636364,0.047008547,0.06011721,0.231607629,0.032064128,27
2014/5/4 2:00,0,0.450980392,0.606557377,0.25,0.425,24,0.172979798,0.047008547,0.081920726,0.223433243,0.032064128,38
2014/5/4 3:00,0,0.431372549,0.606557377,0.26,0.466666667,24,0.101010101,0.051282051,0.094019787,0.215258856,0.034068136,37
2014/5/4 4:00,0,0.431372549,0.62295082,0.27,0.433333333,24,0.102272727,0.051282051,0.066733884,0.21253406,0.032064128,44
2014/5/4 5:00,0,0.411764706,0.62295082,0.29,0.35,24,0.074494949,0.051282051,0.061314513,0.207084469,0.032064128,29
2014/5/4 6:00,0,0.392156863,0.62295082,0.31,0.4,24,0.069444444,0.055555556,0.061062449,0.204359673,0.032064128,21
2014/5/4 7:00,0,0.411764706,0.62295082,0.3,0.333333333,24,0.068181818,0.055555556,0.063015943,0.207084469,0.032064128,21
2014/5/4 8:00,0,0.450980392,0.62295082,0.25,0.491666667,24,0.061868687,0.051282051,0.063015943,0.21253406,0.03006012,29
2014/5/4 9:00,0,0.470588235,0.62295082,0.15,0.691666667,24,0.063131313,0.051282051,0.063015943,0.226158038,0.03006012,30
2014/5/4 10:00,0,0.490196078,0.62295082,0.13,0.7,24,0.071969697,0.047008547,0.069317537,0.237057221,0.03006012,28
2014/5/4 11:00,0,0.529411765,0.606557377,0.11,0.625,24,0.077020202,0.042735043,0.063015943,0.245231608,0.028056112,32
2014/5/4 12:00,0,0.529411765,0.606557377,0.11,0.625,24,0.077020202,0.042735043,0.063015943,0.245231608,0.028056112,32
2014/5/4 13:00,0,0.529411765,0.606557377,0.11,0.625,24,0.077020202,0.042735043,0.063015943,0.245231608,0.028056112,32
2014/5/4 14:00,0,0.529411765,0.606557377,0.11,0.625,24,0.077020202,0.042735043,0.063015943,0.245231608,0.028056112,32
2014/5/4 15:00,0,0.549019608,0.606557377,0.07,0.7,24,0.171717172,0.034188034,0.056714349,0.283378747,0.024048096,17
2014/5/4 16:00,0,0.549019608,0.606557377,0.07,0.525,24,0.122474747,0.034188034,0.056714349,0.288828338,0.024048096,28
2014/5/4 17:00,0,0.549019608,0.606557377,0.08,0.45,4,0.088383838,0.034188034,0.056714349,0.277929155,0.022044088,13
2014/5/4 18:00,0,0.549019608,0.606557377,0.07,0.466666667,24,0.075757576,0.042735043,0.056714349,0.267029973,0.024048096,10
2014/5/4 19:00,0,0.549019608,0.606557377,0.07,0.466666667,24,0.075757576,0.042735043,0.056714349,0.267029973,0.024048096,10
2014/5/4 20:00,0,0.549019608,0.606557377,0.07,0.466666667,24,0.075757576,0.042735043,0.056714349,0.267029973,0.024048096,10
2014/5/4 21:00,0,0.549019608,0.606557377,0.07,0.466666667,24,0.075757576,0.042735043,0.056714349,0.267029973,0.024048096,10
2014/5/4 22:00,0,0.549019608,0.606557377,0.07,0.466666667,24,0.075757576,0.042735043,0.056714349,0.267029973,0.024048096,10
2014/5/4 23:00,0,0.549019608,0.606557377,0.07,0.466666667,24,0.075757576,0.042735043,0.056714349,0.267029973,0.024048096,10
2014/5/5 0:00,0,0.549019608,0.606557377,0.07,0.466666667,24,0.075757576,0.042735043,0.056714349,0.267029973,0.024048096,10
2014/5/5 1:00,0,0.549019608,0.606557377,0.07,0.466666667,24,0.075757576,0.042735043,0.056714349,0.267029973,0.024048096,10
2014/5/5 2:00,0,0.549019608,0.606557377,0.07,0.466666667,24,0.075757576,0.042735043,0.056714349,0.267029973,0.024048096,10
2014/5/5 3:00,0,0.549019608,0.606557377,0.07,0.466666667,24,0.075757576,0.042735043,0.056714349,0.267029973,0.024048096,10
2014/5/5 4:00,0,0.549019608,0.606557377,0.07,0.466666667,24,0.075757576,0.042735043,0.056714349,0.267029973,0.024048096,10
2014/5/5 5:00,0,0.549019608,0.606557377,0.07,0.466666667,24,0.075757576,0.042735043,0.056714349,0.267029973,0.024048096,10
2014/5/5 6:00,0,0.549019608,0.606557377,0.07,0.466666667,24,0.075757576,0.042735043,0.056714349,0.267029973,0.024048096,10
2014/5/5 7:00,0,0.431372549,0.639344262,0.3,0.075,14,0.075757576,0,0.126031886,0.029972752,0.136272545,10
2014/5/5 8:00,0,0.470588235,0.655737705,0.28,0.141666667,4,0.075757576,0.141025641,0.126031886,0.0626703,0.092184369,10
2014/5/5 9:00,0,0.509803922,0.655737705,0.2,0.216666667,4,0.027777778,0.081196581,0.081920726,0.141689373,0.038076152,10
2014/5/5 10:00,0,0.529411765,0.655737705,0.15,0.35,4,0.071969697,0.051282051,0.065347533,0.163487738,0.026052104,21
2014/5/5 11:00,0,0.529411765,0.655737705,0.15,0.35,24,0.044191919,0.042735043,0.034154641,0.19346049,0.028056112,21
2014/5/5 12:00,0,0.568627451,0.639344262,0.09,0.275,24,0.044191919,0.042735043,0.031507972,0.198910082,0.028056112,85
2014/5/5 13:00,0,0.568627451,0.62295082,0.09,0.158333333,4,0.046717172,0.047008547,0.022433676,0.201634877,0.026052104,12
2014/5/5 14:00,0,0.588235294,0.62295082,0.1,0.183333333,4,0.041666667,0.047008547,0.025206377,0.207084469,0.026052104,13
2014/5/5 15:00,0,0.607843137,0.606557377,0.1,0.266666667,14,0.031565657,0.051282051,0.025206377,0.209809264,0.026052104,16
2014/5/5 16:00,0,0.607843137,0.590163934,0.1,0.066666667,13,0.045454545,0.05982906,0.026844792,0.226158038,0.028056112,20
