,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,Wind SpeedKm/h,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Weekday_0,Weekday_1,Weekday_2,Weekday_3,Weekday_4,Weekday_5,Weekday_6,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Power consumption
2015/1/2 0:51,-0.9179229854912642,-1.2558309236086587,0.04433067256946066,-0.2523208199860624,-0.39744028847974955,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,171.9
2015/1/2 1:51,-1.0919243268926384,-1.0657135424063386,0.45808361655109353,-0.17777383993272078,0.5560696729765745,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,163.11
2015/1/2 2:51,-1.2659256682940125,-0.9072823914044053,0.8127289971067788,-0.1529248465816352,0.24401186740905045,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,165.65
2015/1/2 3:51,-1.2659256682940125,-1.0657135424063386,0.6945138702548838,-0.20262283328383465,-0.08538248291222518,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,167.99
2015/1/2 4:51,-1.2659256682940125,-1.2558309236086587,0.5171911799770411,-0.22747182663494853,0.5560696729765745,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,174.47
2015/1/2 5:51,-1.613928351096761,-0.7171650102020853,1.6402348850700446,-0.32686780003937577,-0.39744028847974955,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,185.78
2015/1/2 6:51,-1.7088381736793283,-0.7171650102020853,1.8175575753478872,-0.3517167933904896,-0.39744028847974955,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,200.62
2015/1/2 7:51,-1.7088381736793283,-1.0657135424063386,1.462912194792202,-0.42626377344380295,0.24401186740905045,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,214.67
2015/1/2 8:51,-1.787929692498135,-1.0657135424063386,1.6402348850700446,-0.5008107534971445,-1.3682867946898247,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,226.76
2015/1/2 9:51,-1.787929692498135,-1.0657135424063386,1.6402348850700446,-0.4759617601460307,-1.3682867946898247,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,222.49
2015/1/2 10:51,-1.8828395150807027,-1.0657135424063386,1.8175575753478872,-0.6002067269015718,-1.3682867946898247,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,216.62
2015/1/2 11:51,-1.961931033899509,-1.0657135424063386,1.9948802656257298,-0.6499047136037995,-0.08538248291222518,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,215.58
2015/1/2 12:51,-2.0568408564820766,-1.0657135424063386,2.1722029559035723,-0.699602700305999,-0.08538248291222518,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,214.3
2015/1/2 13:51,-2.0568408564820766,-1.0657135424063386,2.1722029559035723,-0.6002067269015718,-1.3682867946898247,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,206.13
2015/1/2 14:51,-1.961931033899509,-1.0657135424063386,1.9948802656257298,-0.45111276679491685,-0.08538248291222518,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,190.77
2015/1/2 15:51,-1.787929692498135,-1.0657135424063386,1.6402348850700446,-0.30201880668826186,0.24401186740905045,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,163.47
