,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,Wind SpeedKm/h,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Weekday_0,Weekday_1,Weekday_2,Weekday_3,Weekday_4,Weekday_5,Weekday_6,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Power consumption
2015/1/2 0:51,-2.0161378374148486,-0.6319783857119173,0.5773500986736169,1.002504832204176,0.01145030128609993,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,136.48
2015/1/2 1:51,-2.191136418119454,-0.5370782046010305,0.885825629446195,1.065698415585385,0.032217350045704314,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,135.63
2015/1/2 2:51,-2.366134998824059,-0.457994720341958,1.150233227251262,1.0867629433790975,0.025420861360742886,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,136.46
2015/1/2 3:51,-2.366134998824059,-0.5370782046010305,1.0620973613162397,1.0446338877916488,0.01824678997106137,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,134.18
2015/1/2 4:51,-2.366134998824059,-0.6319783857119173,0.9298935624137062,1.0235693599979123,0.032217350045704314,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,136.92
2015/1/2 5:51,-2.71613216023327,-0.36309453923107116,1.7671842887964186,0.9393112488229909,0.01145030128609993,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,137.32
2015/1/2 6:51,-2.8115859315266913,-0.36309453923107116,1.8993880876989522,0.9182467210292545,0.01145030128609993,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,145.41
2015/1/2 7:51,-2.8115859315266913,-0.5370782046010305,1.6349804898938851,0.8550531376480695,0.025420861360742886,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,146.12
2015/1/2 8:51,-2.8911307409378755,-0.5370782046010305,1.7671842887964186,0.7918595542668604,-0.009694330178224533,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,150.45
2015/1/2 9:51,-2.8911307409378755,-0.5370782046010305,1.7671842887964186,0.8129240820605967,-0.009694330178224533,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,153.96
