src:1 -- trg:2 , best_result: 0.688157 


src:B -- trg:T , best_result: 23688.3 


src:G -- trg:T , best_result: 9041.14 


src:S -- trg:T , best_result: 8372.65 


src:B -- trg:T , best_result: 164.572 


src:G -- trg:T , best_result: 193.078 


src:S -- trg:T , best_result: 91.9968 


src:B -- trg:T , best_result: 45.3051 


src:G -- trg:T , best_result: 37.9882 


src:S -- trg:T , best_result: 46.4157 

# final
src:B -- trg:T , best_result: 43.152 


src:G -- trg:T , best_result: 35.0728 


src:S -- trg:T , best_result: 43.0215 


src:B -- trg:T , best_result: 43.152 


src:G -- trg:T , best_result: 35.0728 


src:S -- trg:T , best_result: 43.0215 


src:B -- trg:T , best_result: 42.6446 


src:G -- trg:T , best_result: 35.4371 


src:S -- trg:T , best_result: 42.6538 


src:B -- trg:T , best_result: 42.6447 


src:G -- trg:T , best_result: 35.4371 


src:B -- trg:T , best_result: 42.6447 


src:G -- trg:T , best_result: 35.4371 


src:S -- trg:T , best_result: 42.6538 


src:B -- trg:T , best_result: 47.0721 


src:G -- trg:T , best_result: 37.0846 


src:S -- trg:T , best_result: 40.3928 


src:Asher -- trg:Anastasia , best_result: 41.7067 


src:Asher -- trg:Anastasia , best_result: 48.665 


src:Asher -- trg:Anastasia , best_result: 47.5496 


